input,output,instruction
I think he just wants to discharge some sort of bodily fluid in your presence ... And tear-ducts seem to be culturally-permissible in your opinion . . इम्हो that's what it boils down to !,neutral,Classify the given article as either positive or negative or mix sentiment.
# सारिका क्लिक my pic with @ aksharahaasan1 just b4 the screening @ shamitabh premier n before a star is born today ... http : t . co  tt2mxzn1wg,neutral,Classify the given article as either positive or negative or mix sentiment.
जय हो,positive,Classify the given article as either positive or negative or mix sentiment.
हममम . . . . . मेरा प्यारा बेटा . . . कितनी बैट मन्ता ह मेरी . . . good boy . . :-) . . . :- p,positive,Classify the given article as either positive or negative or mix sentiment.
आज क्या हुआ class में पोचा,positive,Classify the given article as either positive or negative or mix sentiment.
Baby now itz allready 4.06 com ना waiting ..,neutral,Classify the given article as either positive or negative or mix sentiment.
निखिल ब्रो . . . . . ये देख छोटा गिरेन्द्र = ड,positive,Classify the given article as either positive or negative or mix sentiment.
"all tied at 14 after 1st qtr , murray state with ball in red zone",neutral,Classify the given article as either positive or negative or mix sentiment.
@ someUSER there was no handshake abigayle ? also when i come in tomorrow i expect my new schuh tee you ordered to be there . . . good girl,positive,Classify the given article as either positive or negative or mix sentiment.
रीयली कहा पर,neutral,Classify the given article as either positive or negative or mix sentiment.
a round-up of friday's world cup qualifiers as fabio capello's russia beat portugal and sweden edge past the faroes,neutral,Classify the given article as either positive or negative or mix sentiment.
कितने रोज़ हुए सलमान भाई,neutral,Classify the given article as either positive or negative or mix sentiment.
मी best actress,positive,Classify the given article as either positive or negative or mix sentiment.
This page has become boring after that Gandalf's चुटियापा .,negative,Classify the given article as either positive or negative or mix sentiment.
WhatsApp पर,neutral,Classify the given article as either positive or negative or mix sentiment.
हिईई सल्लू भाई .. . कैसे ह .. भाईजान ... अपने तो कमल क्र दिया bollywood industry मेई . .,positive,Classify the given article as either positive or negative or mix sentiment.
"कमाल है , किसी लड़की ने अभी तक blackboard का sum solve नही किया : प",negative,Classify the given article as either positive or negative or mix sentiment.
@ someUSER i may have an android phone by the time i get back to school ! :),positive,Classify the given article as either positive or negative or mix sentiment.
"fb stats show that we have crossed 15 , 000 unique page views ! time to crack open a nice bottle of single malt and enjoy :)",positive,Classify the given article as either positive or negative or mix sentiment.
capello bemoans language barrier in russia : russia coach fabio capello spoke monday of his frustration at the la . . . http  URL,negative,Classify the given article as either positive or negative or mix sentiment.
हसीन बचपन मे मास्टर जी के डांडे विथ सपने ऑफ सनडे,negative,Classify the given article as either positive or negative or mix sentiment.
hey .. don't need to be upset ... it's ur life .. माना की अनहोन जनम दिया है .. पर सांसे चिन्ने का हुक तोह उन्हे भी नही है .. so y u ...,positive,Classify the given article as either positive or negative or mix sentiment.
"knowing the political consequences of # landacquisitionbill , the govt . led by @ narendramodi is committed to pass it !",neutral,Classify the given article as either positive or negative or mix sentiment.
चोर साले मार्जा तू कुत्ते हरमके सुव्वार .,negative,Classify the given article as either positive or negative or mix sentiment.
Watsapp h ना,neutral,Classify the given article as either positive or negative or mix sentiment.
गुद लक जी .. अल्लाह आपको सारी खुशियो साय नवजय .. सायद आप हमको भूल घई लकिनहमारी साश रुख जैगी हम उष्क्या बाद भी आपको नही भुलयघाय .. अल्लाह hafis,positive,Classify the given article as either positive or negative or mix sentiment.
"guddu भी महान लोगो के कदमो पर चल रा है , जहा talent दिखाना है वाहा नही दिखाया बाकी जागा चाह ज्ञा : p",negative,Classify the given article as either positive or negative or mix sentiment.
ऐसे ही,neutral,Classify the given article as either positive or negative or mix sentiment.
who else is excited to see the boys on startalk tomorrow ? ? ?,positive,Classify the given article as either positive or negative or mix sentiment.
i want to go watch denzel's new movie tomorrow ! someone take meeeeeeeeeee .,neutral,Classify the given article as either positive or negative or mix sentiment.
vote for aam aadmi party,positive,Classify the given article as either positive or negative or mix sentiment.
good counter . . . empty bank account . . lol,neutral,Classify the given article as either positive or negative or mix sentiment.
nfl commissioner roger goodell says he may cancel the pro bowl : http  URL would you care if there was no pro bowl ?,negative,Classify the given article as either positive or negative or mix sentiment.
sir don't want to disappoint uae fans so give them a six . # cwc15 # indvsuae,neutral,Classify the given article as either positive or negative or mix sentiment.
Hi bizy man अप हम सी कहा बात कारो गी अपको रज़ान मुबारक हू ईड पर SMG जारोर कर्ना plz plz bye,positive,Classify the given article as either positive or negative or mix sentiment.
"बजप-दोस्त fail हो जये तो दुख होता है , दोस्त first आ जये तो और ज्यादा दुख होता है . # aapsweep # aapstorm http : t . co  gdyelclzky",negative,Classify the given article as either positive or negative or mix sentiment.
contra में सबसे diffucult . . exploding pull पार कर्ना . . : प,neutral,Classify the given article as either positive or negative or mix sentiment.
असलम आलय कुम असलम axelent भाई जान ( y ),positive,Classify the given article as either positive or negative or mix sentiment.
"I dont believe that this confession has made by a  "" GIRL  "" ... तेरे साथ आइसा नही होना चाहिये था यार , गलत है ये ... तेरे साथ तो एक को नही सबको फिजिकल होना चाहिये था and then तेरी तश्रीफ पे लाट मार्के छोड़ना चाहिये था टैब थीक होता ... > (",positive,Classify the given article as either positive or negative or mix sentiment.
जाड़ा घुमटे मैट रहो हमलोक को मदत कारो हमार बारे सोचो जरा हैम मदत मेगटे तो मिली नही कक,negative,Classify the given article as either positive or negative or mix sentiment.
क्या भाईजान फ्रैंक कर रहे हो जल्दी आओ,neutral,Classify the given article as either positive or negative or mix sentiment.
☺☺☺☺,neutral,Classify the given article as either positive or negative or mix sentiment.
# unionbudget2015-16 : no change in # incometax rates finance minister arun jaitley announced that there will be no ... http : t . co  izwquzsi2h,neutral,Classify the given article as either positive or negative or mix sentiment.
सल्लू भाई पटियाला आ जाओ अपनी film की promotion के लिये ...,neutral,Classify the given article as either positive or negative or mix sentiment.
बात ना बानी ....,negative,Classify the given article as either positive or negative or mix sentiment.
ज बंदा काम कर राहा है हैम मेज़ ले रहे है जब से india के pm बने है टैब से लागा गई great man in the world ......... best pm in the world ..... only one on one ......,positive,Classify the given article as either positive or negative or mix sentiment.
बेटा अग्र ऐसी ही आची life चाहता है तो लड़कियो क चक्कर मे मत पड़ियो . कुट्टा बना देति हैं .,negative,Classify the given article as either positive or negative or mix sentiment.
???,neutral,Classify the given article as either positive or negative or mix sentiment.
photo : fab find ! जेसन वू satin scarlet clutch at off 5th ! whoop whoop ! ( taken with instagram ) http  URL,positive,Classify the given article as either positive or negative or mix sentiment.
धमकी मिली ह उसे,neutral,Classify the given article as either positive or negative or mix sentiment.
बजरंगी भैजन ईड मुबारक in advanc ऑर अपकी movie 450cr के पर जये क्युकी .... you are grate and smart hero of bollywood के,positive,Classify the given article as either positive or negative or mix sentiment.
"at the first grammy awards , held on 4 may 1959 , domenico modugno beat out frank sinatra and peggy lee for the record of the year , with volare",neutral,Classify the given article as either positive or negative or mix sentiment.
किटनी farigh लोग हो यार किन requests भेज री हो,neutral,Classify the given article as either positive or negative or mix sentiment.
"माई तो इटने games me b बास ninja turtles , street fighter , car race and mario खेल कर खुश था baki games पर ध्यान देने का टिम किसके पास था :- ड",positive,Classify the given article as either positive or negative or mix sentiment.
"@ someUSER hi bob . ' m fine . tomorrow is a holiday here , all souls ' day ' n the 15th republic day , another holiday . नाऊ i'm a little busy . . .",neutral,Classify the given article as either positive or negative or mix sentiment.
icse 10th me last din projects mummy ने ही बनवाये दी : d,positive,Classify the given article as either positive or negative or mix sentiment.
अब मुज्कोआ रा ह ??,positive,Classify the given article as either positive or negative or mix sentiment.
"Salu भाई . आप का move जरूर hit होगी bajrangi बाली ही ना . ! जिस के , साथ भगबान होते हैं हुन का कोई कुछ नेही कर सकता .!",positive,Classify the given article as either positive or negative or mix sentiment.
ऐला guddu को master की लाट . . . .,negative,Classify the given article as either positive or negative or mix sentiment.
अन्ना जी प्लीज गला baat mutual करिये . आप भी अपने image खराब कर रहे हो,negative,Classify the given article as either positive or negative or mix sentiment.
वो भी राजिव चोवक से $ ही होते हुये जाएगा,neutral,Classify the given article as either positive or negative or mix sentiment.
excited about the bump in ram for raspberry pi . such a nice surprise for a monday . : ),positive,Classify the given article as either positive or negative or mix sentiment.
ठिक ह भय्या,positive,Classify the given article as either positive or negative or mix sentiment.
"खान बोले थो सलमान खान , दिल तादप रा भाईजान के लिये",positive,Classify the given article as either positive or negative or mix sentiment.
अहाहा उहूउ !! मैच day ...! charged up and ready to watch boys in action with buddies ... # bringiton # indvsuae # cwc2015 # bleedblue,positive,Classify the given article as either positive or negative or mix sentiment.
india teem me क्या हो राहा है,neutral,Classify the given article as either positive or negative or mix sentiment.
"nadal confirmed for mexican open in february : rafael nadal is set to play at the mexican open in february , . . . http  URL # tennis",neutral,Classify the given article as either positive or negative or mix sentiment.
great babulal meena,positive,Classify the given article as either positive or negative or mix sentiment.
माई भी कुछ आसा ही करता हू most of the tme : प : प,positive,Classify the given article as either positive or negative or mix sentiment.
देखना friends Salman भाई जारोर reply कैरी गा late ही सही,positive,Classify the given article as either positive or negative or mix sentiment.
अर्रे play boy थोड़ी ना हू,neutral,Classify the given article as either positive or negative or mix sentiment.
good लक to scouser & amp ; soon to be klitschko destroyer @ सोम्यूज़र टोनिघ्त in the echo against @ someUSER - ' 12th career को टोनिघ्त ',positive,Classify the given article as either positive or negative or mix sentiment.
@ atulkasbekar @ ankurtewari यार कोई ऐसी सरकारो को समझाओ की इंसान को उस्की मरज़ी का खाने पेहेन्ने to do .... # beefban,neutral,Classify the given article as either positive or negative or mix sentiment.
only gloves useful थे : d : d,positive,Classify the given article as either positive or negative or mix sentiment.
फेकु का झूठा अभियान फिर से शुरु . . . . . . . . अज्ज झुठ की झादी लागा डे फेकु ने . .,negative,Classify the given article as either positive or negative or mix sentiment.
आइसा कैसे हो सकता है . . . . मीन जो confession किया था वाही post कर देते,neutral,Classify the given article as either positive or negative or mix sentiment.
Hi salman i'm समीर baloch in balochistan i'm biggggg fan of you,positive,Classify the given article as either positive or negative or mix sentiment.
कमल करते हो पाण्डे जी ह्यूम बुला क्र खुद ही गयाब .....,neutral,Classify the given article as either positive or negative or mix sentiment.
आज वाला भी cancel हुआ जैसे : ड : ड : ड,negative,Classify the given article as either positive or negative or mix sentiment.
सलमान खान meeting me bzy ही कल online आये गे वो,neutral,Classify the given article as either positive or negative or mix sentiment.
# aapsweep delhi election becoz they promise reduce power price and i can sleep peacefully in ac . # aapstorm # delhidecides z-plus modi,positive,Classify the given article as either positive or negative or mix sentiment.
जाना,neutral,Classify the given article as either positive or negative or mix sentiment.
# blockbustermsg . ga रे मेरे मैन धन धन धन,neutral,Classify the given article as either positive or negative or mix sentiment.
Gm mam 😎,neutral,Classify the given article as either positive or negative or mix sentiment.
प्लीज frinds dont send me massges any body need solution of their problem just call मे,neutral,Classify the given article as either positive or negative or mix sentiment.
स्लैम मलिकम सलमान,neutral,Classify the given article as either positive or negative or mix sentiment.
भाई अप सपना क्यू देखते हो भाई बस आपके fan ह हम,negative,Classify the given article as either positive or negative or mix sentiment.
माई झाट डॉन अरविंद संतोष,neutral,Classify the given article as either positive or negative or mix sentiment.
bombay me कोई train न्ही रुकेगी अबसे सिर्फ mumbai me रुका करेगी train # railbudget2015 # celebtrains,neutral,Classify the given article as either positive or negative or mix sentiment.
calgary tomorrow for the first meet of the season ! can't wait to get some early racing done # altitude # paceit,positive,Classify the given article as either positive or negative or mix sentiment.
भैय्या प्लस बात किजियेगा दिल मैट तोडियेगा,neutral,Classify the given article as either positive or negative or mix sentiment.
who wants to see maya rudolph sing prince with my thursday night,neutral,Classify the given article as either positive or negative or mix sentiment.
yr उ शुद move on नाऊ . या कोई किसी का w8 नी क्रता न जाने वाले को कोई रॉक नी skta . बट ई dont undrstnd y पपल वंत a physical relation . bina इंटीमटे हुए ब लव सालो साल चालता ह अग्र कोई चलना चाहे टो :,negative,Classify the given article as either positive or negative or mix sentiment.
गुड्डू इतना सिधा कब से हो गया की एक बार बोलने से ही बीना किसी धमकी क चाला गया :- p,negative,Classify the given article as either positive or negative or mix sentiment.
तुंगदेखराह ??,negative,Classify the given article as either positive or negative or mix sentiment.
ये वि बोलने की बात ह अप बुलायें और हम ना आई # भैजन,neutral,Classify the given article as either positive or negative or mix sentiment.
Superp भाई जान,positive,Classify the given article as either positive or negative or mix sentiment.
like larry bird in the ole ' 3pt contest . . . tonight at the alfred e . smith dinner # romney went 1st and absolutely crushed it . # obamafailed,positive,Classify the given article as either positive or negative or mix sentiment.
Scienceg लेना है क्या ? ?,neutral,Classify the given article as either positive or negative or mix sentiment.
कछुआ सर k टांडा देख क to आचे आचो की acting निकल जये फिर गुड्डू क्या है . . : प,neutral,Classify the given article as either positive or negative or mix sentiment.
"jlin had a nice little bounce back game tonight , hopefully he gets back into his linsanity groove by ट्यूस्डे",positive,Classify the given article as either positive or negative or mix sentiment.
if you know about osho so pk movie is easily understand by you,neutral,Classify the given article as either positive or negative or mix sentiment.
"music of the sun , a girl like me , good girl gone bad , rated r , loud , talk that talk and finally _________ ?",neutral,Classify the given article as either positive or negative or mix sentiment.
प्रदीप तिवारी तुम्हारे लिये स्पेशल . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
# torchlight2 comes out tomorrow . torchlight is in my list of best games of all time . i लाइक it better than diablo iii . 2 promises more .,positive,Classify the given article as either positive or negative or mix sentiment.
अक्दम किक के जेसा,positive,Classify the given article as either positive or negative or mix sentiment.
तो क्या चायिये अपको,neutral,Classify the given article as either positive or negative or mix sentiment.
Pta ह तुम ही हो ??,negative,Classify the given article as either positive or negative or mix sentiment.
"jul 82 uk heavy metal band judas priest release their 8th album screaming for vengeance , with the single "" you've got another thing comin "" .",neutral,Classify the given article as either positive or negative or mix sentiment.
तनिक कैसेन हो,neutral,Classify the given article as either positive or negative or mix sentiment.
final माई गुड्डू बिलकुल अपनी ज़गाह से हिल्बा मैट . . 10 अकत से जितेंगे,positive,Classify the given article as either positive or negative or mix sentiment.
अबे first comment to मेरा था . . . गुड्डू भाई तुम ही हर बार बाटा दिया कारो किसका फर्स्ट था :(,positive,Classify the given article as either positive or negative or mix sentiment.
साले ने heavy dose डे दिया,negative,Classify the given article as either positive or negative or mix sentiment.
हान थीक कहा बट हर लड़की एक जैसे नही होती ई नोव कुछ गर्ल ऐसी होती है जो मोनी पर डिपेंड कार्ति है बट सारे लड़के भी लोयल नही है 50% लड़के लडकिया धोकेबाज़ है,neutral,Classify the given article as either positive or negative or mix sentiment.
तू काम करेगा की न्ही ?,neutral,Classify the given article as either positive or negative or mix sentiment.
भाई आपको बजरंग बाली की कसम आ जाओ,neutral,Classify the given article as either positive or negative or mix sentiment.
fifa is weird sometimes : you may remember the fifa 12 video where andy carroll starting trying to hump iker casi . . . http  URL,neutral,Classify the given article as either positive or negative or mix sentiment.
"आज pakistan का breaking news "" india ने pakistan पे किया हमला 11 dead and 4 injured "" # cwcfantasy # indvspak # myteammyworldcup",neutral,Classify the given article as either positive or negative or mix sentiment.
mizzou beats kentucky 2-1 ! tigers advance to face top-seed florida in the semis on फ्रिडे at 6:30 p . m .,positive,Classify the given article as either positive or negative or mix sentiment.
बिलकुल नही,negative,Classify the given article as either positive or negative or mix sentiment.
और ये गया गुड्डू का बापू boundry क पार . . .,negative,Classify the given article as either positive or negative or mix sentiment.
ई may ask my doctor for ambien on election night . i'd rather sleep through it and hope i wake up to footage of mitt crying over his loss .,negative,Classify the given article as either positive or negative or mix sentiment.
अभी डोबरा vote हो जाय bjp 7 seat भी नही मलेगी जय राजेस्थान,negative,Classify the given article as either positive or negative or mix sentiment.
"आपका जवाब नही जनब :- ड क्या दिन दी वो भी , scooter पे बिच मैं बैथने का जो मजा होता था , वो शायद किसी मेंहनी गड़ी मैं bi ना मिले :)",positive,Classify the given article as either positive or negative or mix sentiment.
अब eid celebrate क्रता हा किया ramzan का रोजा ब रख्ता हा . kyn k ईड का <unk> टब hi आता हा जब ramzan क रोजा रखो .,positive,Classify the given article as either positive or negative or mix sentiment.
बास अब एक ही बात ह kolkata जलदी अना plz,neutral,Classify the given article as either positive or negative or mix sentiment.
# landacquisitionbill किरिट शोमे # ndtv पे खाते ही के bjp को prithvi raj जेने कानों के बारे हमे सुजाव दिया me कहोगा किरिट शरकार me हो,neutral,Classify the given article as either positive or negative or mix sentiment.
हिंदुस्तान is my foot पाकिस्तानियो को गालिया क्यूं देते अप स्ब क्यूं पाकिस्तनियो ने अप स्बकी भेने चुरी है किया,negative,Classify the given article as either positive or negative or mix sentiment.
भाई गोली डे रहे हो छोटे भाई को,neutral,Classify the given article as either positive or negative or mix sentiment.
हा हा . . . सपने मे ही आखिर इस बहुचर्चित शमा क लौण्डे ने अपने खानदान का नाम डुबा ही दिया . . अब कोई ना कहेगा की शर्मा जी क लौण्डे को देखो . . और एक तुम हो . . . हा हा हा,negative,Classify the given article as either positive or negative or mix sentiment.
"@ someUSER @ someUSER # surface the florida mall , orlando , fl is the closest $ msft store to me . ;-) can't wait to be there tomorrow !",positive,Classify the given article as either positive or negative or mix sentiment.
तू क्या कर रा है ??,neutral,Classify the given article as either positive or negative or mix sentiment.
अबकी बार आप की सरकार,negative,Classify the given article as either positive or negative or mix sentiment.
LiKe my frIend सहीद भगत सिंह college confession page ...... https  m . facebook . com  sbsecconfessions ? refid = 5,neutral,Classify the given article as either positive or negative or mix sentiment.
Html css php typeg के projectg है ना बे ? ?,neutral,Classify the given article as either positive or negative or mix sentiment.
भाई बजरंगी भैजन तो शम्झो की HIT है,positive,Classify the given article as either positive or negative or mix sentiment.
"See the level of people doing phd , i dnt know wat shit they will teach to students ?",neutral,Classify the given article as either positive or negative or mix sentiment.
gautam तो फ्ले दिन से ही winnr बन ज्ञा ताह . .,positive,Classify the given article as either positive or negative or mix sentiment.
l power से contra end ? guddu's version of handicapped match . : p,negative,Classify the given article as either positive or negative or mix sentiment.
इस कुत्ते की filam देखने कोई भी स्छा मुस्लिम न्ही जाएगा,negative,Classify the given article as either positive or negative or mix sentiment.
क्या यार admin आज पहली बार confession डाला था वो ब न्ही पॉसी किया आपने,negative,Classify the given article as either positive or negative or mix sentiment.
राजिव चोवक पर,neutral,Classify the given article as either positive or negative or mix sentiment.
facebook heir ? time to choose who manages ur acc ... http : t . co  ज्न्गलतमैट्व # फेसबुक # aapsweep # blog # delhidecides # update # technology # geek,neutral,Classify the given article as either positive or negative or mix sentiment.
नही दीदी वो लोग नही आये,negative,Classify the given article as either positive or negative or mix sentiment.
"# asimplelife opens tomorrow at lee's 4-star in san fran - roger ebert called it "" one of the year's best films "" http  URL",neutral,Classify the given article as either positive or negative or mix sentiment.
रजत श्रीवास्तवभाई मैच के बीच माई उत्ना पाप है,neutral,Classify the given article as either positive or negative or mix sentiment.
"@ someUSER he's on the plane to amsterdam now , bet he's not in class tomorrow",neutral,Classify the given article as either positive or negative or mix sentiment.
the win would have been no better without # indvspak on twitter .. cheers to all indian fellow mates ... and the game is still on pak,positive,Classify the given article as either positive or negative or mix sentiment.
मैंने बी बोला,neutral,Classify the given article as either positive or negative or mix sentiment.
वाई अपका कोई वि filim हान्ने डेकना निहीई चोरा ....,neutral,Classify the given article as either positive or negative or mix sentiment.
the epic insult when u ask - may i come in sir ? and someone from staffroom says - no,negative,Classify the given article as either positive or negative or mix sentiment.
अब भरोसे के लायक नही है आप .,negative,Classify the given article as either positive or negative or mix sentiment.
हान मुजे ब लैग री थी,negative,Classify the given article as either positive or negative or mix sentiment.
go hug her n say sory . tel her ह्यू मच उ love her :) thats it . . . go 4 a date wid her,positive,Classify the given article as either positive or negative or mix sentiment.
"talking of bond & amp ; skyfall , variety , the children's charity is holding the premiere on nov 7th at sylvia park . tickets @ http  URL",neutral,Classify the given article as either positive or negative or mix sentiment.
"@ someUSER and then both teams took dumps in the 2nd round of the big dance , ku flaming out against ucla , mizzou losing to northern iowa .",neutral,Classify the given article as either positive or negative or mix sentiment.
ई don't लाइक उ केजरीवाल साहब,negative,Classify the given article as either positive or negative or mix sentiment.
ई किसकी पिक ह ? ?,neutral,Classify the given article as either positive or negative or mix sentiment.
achi nature k boys hi फ्रेंड requst सेंड करे,positive,Classify the given article as either positive or negative or mix sentiment.
"only aap , , , , aap , , , , aap , , , , aap  .  , vote for aap aap aap only aap जंता सब जान्ती है . . . . . . . . . . . . . . . . . . . . . वोट for honest govt . only आप जंता rocks other party shocks , , , , , , , , , , , , , , , , , salute केजरीवाल जी , , , , , , , , , जय हिंद . . , vote only आप आप आप vote only आप आप आप vote only आप",positive,Classify the given article as either positive or negative or mix sentiment.
अब घर पर कोई बैट हुई होगी तो अब माना कर रहे है कैंसल करने के लिये ..,neutral,Classify the given article as either positive or negative or mix sentiment.
"theo walcott is still shit , watch rafa अंड जॉनी deal with him on saturday .",negative,Classify the given article as either positive or negative or mix sentiment.
फ्र,neutral,Classify the given article as either positive or negative or mix sentiment.
भाई आपको सबके comment मिले होंज पर माई ये आपसे कहना चाहता हू की आप ईड पर मेरे घर आओ ऑर सेवैन्या खा लो ऑर एक बहुत जारुरी बात आपको बताना ह मुझे आपके reply का wait रहेगा,neutral,Classify the given article as either positive or negative or mix sentiment.
भैजन आप की सारी film supar होती है ऑर . मैं आप की सारी film देखती हुन काश मैं एक बार आप से मिल पति,positive,Classify the given article as either positive or negative or mix sentiment.
Gurgaon नाम का to word ही नी tha conversation mr,neutral,Classify the given article as either positive or negative or mix sentiment.
as i'm watching candyman i realize that its it not scary at all ! kinda funny or it may b the liquor either way i'm लाफिन,positive,Classify the given article as either positive or negative or mix sentiment.
कितने दिन में हो जाएगा,neutral,Classify the given article as either positive or negative or mix sentiment.
प्रतिक्षिक परीक्षा - मारियो मे unlimited life कहा मिलती है और उसे कैसे पाये ?,neutral,Classify the given article as either positive or negative or mix sentiment.
bhai unblock क्र डे उन्हे atleast वो जो fake नही ह,positive,Classify the given article as either positive or negative or mix sentiment.
rt @ अविनाशकिंकु : पटाखे फोड़नेका मौका आगाय ! मौका मौकाआ ...... # india # cwc15 # मौकमौका # indvssa,positive,Classify the given article as either positive or negative or mix sentiment.
rt @ happychopra2311 : @ gurmeetramrahim # msgyouthicon lovely pick papa जी कितने सोने lg रहे हो जी love उ papa,positive,Classify the given article as either positive or negative or mix sentiment.
Bloody Government कर्मचारी - sorry आपके जो chance दी वो बी खातम ... तुम बी जाओ परदेश ..,negative,Classify the given article as either positive or negative or mix sentiment.
इतनी रेल्लीय कर रहे है modi जी,positive,Classify the given article as either positive or negative or mix sentiment.
उसर्ट ka tx rx or modem control last टाइम छोड़ दिया था ना .. वो पुरा कर रा हू .. फिर ARM start करुंगा direct,neutral,Classify the given article as either positive or negative or mix sentiment.
"जब तक chips ka पैकेट भारा है , इंका हाथ चालता रहेगा : ड",positive,Classify the given article as either positive or negative or mix sentiment.
आह किसी तरह try कृते की लाडू दो बार मिल जये . . चबद chabad ! ! !,positive,Classify the given article as either positive or negative or mix sentiment.
delhi assembly ( विधान सभा ) election results 2015 http : t . co  j1joz7me4f via @ nandishchothani # aapsweep # delhidecides,neutral,Classify the given article as either positive or negative or mix sentiment.
we r blessed with tiger biscuits : d : d,positive,Classify the given article as either positive or negative or mix sentiment.
Osm pic sallu,positive,Classify the given article as either positive or negative or mix sentiment.
पागल है क्या .. मुजे नही लगता बुरा .,neutral,Classify the given article as either positive or negative or mix sentiment.
"garbage बिन कुछ शादी वाडी , पडोसियो से लड़ाई , गुमने की trip wagerah के पोस्ट भी डालो . . . . .",neutral,Classify the given article as either positive or negative or mix sentiment.
#333 I have peed in the SAC swimming pool several times after realizing that a lot of swimmers do it तू ...,negative,Classify the given article as either positive or negative or mix sentiment.
ऐसे school में तोह अपना घर बना लून . . .,positive,Classify the given article as either positive or negative or mix sentiment.
"rt @ poojasachdeva64 : all songs of msg are wonderful songs are sung , composed and written by @ gurmeetramrahim # msgyouthicon",positive,Classify the given article as either positive or negative or mix sentiment.
इतना क्या खाश ह इस्मे जो हम्मे नी,neutral,Classify the given article as either positive or negative or mix sentiment.
कज ने खोला सरब का फेक्टरी आज bombay police ने खुलासा किया,negative,Classify the given article as either positive or negative or mix sentiment.
"Read हिन्दू then !!. Switch papers , isme confession करने की क्या गल थी व",neutral,Classify the given article as either positive or negative or mix sentiment.
hell0 salman khan ... केसी ह अप ..??,neutral,Classify the given article as either positive or negative or mix sentiment.
"हहाहा . . . . सारे बाचो का सपना . . . . correction . . . सारे लड़को का सपना , school मे ऐसी पढ़ाई हो . . . .",positive,Classify the given article as either positive or negative or mix sentiment.
शर्मा जी का लौंडा and l power . . . . . . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
"great work mr . jaitley , well balanced # unionbudget2015",positive,Classify the given article as either positive or negative or mix sentiment.
they better take जो पा to the pet semetary . . . they may never win agdin,negative,Classify the given article as either positive or negative or mix sentiment.
"Vai always we love u , ऑर ह्म सबको पातहा आप आइसा कुछ नही करेंगे जो किसिको दुख pouche .... always वैजान r8 or जो कर्ताहा किसिको ना किसिको वाला होताहा .....",positive,Classify the given article as either positive or negative or mix sentiment.
"इस्मे se "" tanks "" mera favourite था . . क्युकी बाकी कुछ था hi नही इस्मे . . . : d",positive,Classify the given article as either positive or negative or mix sentiment.
"@ shaziailmi राहने डे अम्मा , तेरे से ना होगा ! so जा ! आप को expose करने के लिये overtime करने से अच्छा delhi के लॉगन का भाला का सोचो !",negative,Classify the given article as either positive or negative or mix sentiment.
lauryn hill's going to be at constitution hall on november 4th & gt ;& gt ;& gt ;& gt ;& gt ;& gt ;& gt ;& गत ; i'm इन there like swimwear ! ! !,neutral,Classify the given article as either positive or negative or mix sentiment.
eleanor says she's going to practice squat peeing in the shower for tomorrow,neutral,Classify the given article as either positive or negative or mix sentiment.
उनकी आत्मा को शांति मिले,neutral,Classify the given article as either positive or negative or mix sentiment.
perfect weather to finish a great week . saw noel fielding's show thursday at the ath . meeting him would have made the week perfect !,positive,Classify the given article as either positive or negative or mix sentiment.
rt @ indiatoday : ' semi bullet trains in two years ' - suresh prabhu # railbudget2015 http : t . co  0d3uitbk56 http : t . co  9dmlbwhikw,neutral,Classify the given article as either positive or negative or mix sentiment.
पापा ने सही time पे match को सम्भाल लिया . . . नही tow match गया था हाथ से :),positive,Classify the given article as either positive or negative or mix sentiment.
सलमान भाई सब आपको मिलना चाह्टी ही but मेको आप मिलू या ना मिलो बास दुआ डायना ओउर आपके ज्यिस मेको bing human trust निकल ना ही help me ताकी ओउर बछो को help कर सको माई बास दुआ मिल्ला,positive,Classify the given article as either positive or negative or mix sentiment.
चोर है मदरचोड़ सलमान,negative,Classify the given article as either positive or negative or mix sentiment.
जाब्र्डस्थ भाई जान ..,positive,Classify the given article as either positive or negative or mix sentiment.
trailer माई salman khan नही है नही देखोंगा,neutral,Classify the given article as either positive or negative or mix sentiment.
i think i may be the only person around not excited that beyonce is the half time performer for the superbowl .,negative,Classify the given article as either positive or negative or mix sentiment.
सन जब ज्येगा ना तो उस फेले मिलने आईयू मज्से,neutral,Classify the given article as either positive or negative or mix sentiment.
आइस्के बॉस का न्ही # bigboss ! ! ! : p,negative,Classify the given article as either positive or negative or mix sentiment.
sneak peek : check out the 12 freebies you can get at cvs on black friday ! link in the first comment :,positive,Classify the given article as either positive or negative or mix sentiment.
friend यहाँ internet बहत स्लो ..... है . sorry,negative,Classify the given article as either positive or negative or mix sentiment.
क्युकी lastg tymg तोह,neutral,Classify the given article as either positive or negative or mix sentiment.
"what's the difference in a "" vow "" ( हटप  URL and a "" promise "" ( http  URL @ someUSER # tcot",neutral,Classify the given article as either positive or negative or mix sentiment.
turning किसान्स into indistrial labourers is not my kind of विकास . # landacquisitionbill,negative,Classify the given article as either positive or negative or mix sentiment.
acta gets the ax . wrote about him and other managers on the hot seat on tuesday http  URL,negative,Classify the given article as either positive or negative or mix sentiment.
"जिमी kimmel live - axl rose , part 1: part 1 of jimmy kimmel's interview with axl rose . added : thu oct 25 11:02:2 . . . http  URL",neutral,Classify the given article as either positive or negative or mix sentiment.
